0,1,2,3,4,5,6,7,8,9,is_member
-0.535305,-0.06734678,-0.9963852,-0.10675432,-0.7482654,-0.57913476,-0.43124127,2.332715,-0.3689009,0.2034182,1
-0.4127578,-0.034086436,-0.6321976,-0.061303094,-0.4764427,-0.39658847,-0.28203148,1.5445279,-0.26673976,0.13037413,1
-0.6954084,-0.093563706,-1.2094805,-0.13356625,-0.90001935,-0.670978,-0.5192089,2.8748353,-0.45662004,0.27935112,1
-0.45314878,-0.054291397,-0.7528475,-0.06342156,-0.5757696,-0.4940933,-0.2980586,1.8369353,-0.29977745,0.15645888,1
-0.5449833,-0.103734285,-0.98928416,-0.1110052,-0.72898036,-0.58715683,-0.39986023,2.3887258,-0.3630476,0.22259319,1
-0.3533341,-0.04689333,-0.6419108,-0.083467975,-0.48140264,-0.35902917,-0.25999084,1.5045716,-0.24146731,0.1155883,1
-0.51516384,-0.074416846,-0.9002123,-0.10803442,-0.68122506,-0.53593034,-0.36750275,2.173446,-0.3289104,0.19449908,1
-0.6174465,-0.074835986,-1.091607,-0.110968605,-0.8026075,-0.6182714,-0.44316065,2.584027,-0.4015426,0.20796639,1
-0.48756722,-0.023451,-0.843733,-0.098214135,-0.6271095,-0.49036142,-0.33954024,2.0651863,-0.3158275,0.15963233,1
-0.3171235,-0.022406995,-0.50870997,-0.05477017,-0.39300147,-0.32843754,-0.22225517,1.2199639,-0.21301116,0.107206844,1
-0.48022303,-0.057608575,-0.82106787,-0.10533567,-0.63696444,-0.47784743,-0.35308906,1.9511441,-0.31740725,0.17706034,1
-0.37505826,-0.0456945,-0.67048603,-0.073885575,-0.4964409,-0.39301798,-0.2476385,1.6083181,-0.24619304,0.13642806,1
-0.5809093,-0.057190686,-1.0246092,-0.09487541,-0.7730428,-0.6001678,-0.43840003,2.460885,-0.38982165,0.20122164,1
-0.44594738,-0.04852268,-0.68592685,-0.08298777,-0.5643341,-0.4535068,-0.28735647,1.715608,-0.27466005,0.15211493,1
-0.35402766,-0.04342538,-0.58100915,-0.056151465,-0.44052166,-0.38819584,-0.22157231,1.453411,-0.23529063,0.11375966,1
-0.41694346,-0.04305932,-0.68635786,-0.07962397,-0.5235871,-0.39230767,-0.30854195,1.6497445,-0.2713277,0.15652564,1
-0.44811943,-0.0465419,-0.72550285,-0.07691307,-0.55028284,-0.45907134,-0.28030527,1.7929424,-0.2903567,0.14869818,1
-0.47832647,-0.097284645,-0.79151297,-0.064149514,-0.626418,-0.52270144,-0.3293256,1.9563901,-0.31427288,0.16503757,1
-0.5250999,-0.023369342,-0.7893348,-0.06780608,-0.60286784,-0.51718026,-0.32204384,1.9355125,-0.3355626,0.1836099,1
-0.55909586,-0.106803805,-1.0039046,-0.14335574,-0.7681883,-0.60648745,-0.37556887,2.4139223,-0.34200642,0.18937308,1
-0.478183,-0.034525663,-0.7594424,-0.072142884,-0.5804136,-0.4812316,-0.3337127,1.877794,-0.31084633,0.15917537,1
-0.3453868,-0.010144024,-0.5352295,-0.051462755,-0.41451293,-0.34526655,-0.2389479,1.3182575,-0.22990601,0.10245093,1
-0.68937093,-0.114370614,-1.2839998,-0.15287288,-0.93455994,-0.71997434,-0.49162585,3.073536,-0.45263857,0.28016335,1
-0.7718408,-0.11696705,-1.3763881,-0.15025564,-1.0335457,-0.79051405,-0.5431184,3.316808,-0.48140916,0.28673524,1
-0.66472775,-0.04612258,-1.1568401,-0.1555755,-0.87354815,-0.6128193,-0.4504493,2.7304513,-0.41411608,0.23561496,1
-0.43632644,-0.009502917,-0.71899974,-0.0704184,-0.51924837,-0.39779362,-0.3109153,1.672972,-0.2924989,0.1508337,1
-0.52365875,-0.076781005,-0.89230853,-0.09304668,-0.6693344,-0.5327429,-0.34833843,2.1918392,-0.32840693,0.19234186,1
-0.5897006,-0.08360937,-1.1197174,-0.13302799,-0.8354353,-0.6283855,-0.43066522,2.6188774,-0.40741712,0.24383885,1
-0.49039593,-0.06722304,-0.8416506,-0.13623513,-0.65040576,-0.46346328,-0.38112438,1.9430438,-0.321207,0.1782788,1
-0.4051309,-0.047947675,-0.6495309,-0.06564511,-0.49878252,-0.41387287,-0.27922797,1.5806946,-0.2598389,0.14734006,1
-0.5577992,-0.05490318,-0.9348094,-0.11019851,-0.7029834,-0.5150418,-0.41360968,2.2367213,-0.35804135,0.19341522,1
-0.61072654,-0.05578646,-1.0957166,-0.11583923,-0.8001201,-0.62151235,-0.44060123,2.6309624,-0.41065273,0.22854227,1
-0.5650277,-0.019668728,-0.9338452,-0.11008631,-0.7269215,-0.53027004,-0.38847196,2.2420564,-0.34838232,0.20616311,1
-0.49848777,-0.058089286,-0.89158905,-0.06842135,-0.6749473,-0.54736835,-0.3395862,2.2073026,-0.3365188,0.19120204,1
-0.48455462,-0.07297298,-0.8603629,-0.05953841,-0.6552336,-0.5648363,-0.33629423,2.1164331,-0.3263176,0.17794538,1
-0.4765724,-0.056847483,-0.8532598,-0.07914482,-0.62471503,-0.4996676,-0.34318998,2.059319,-0.32065517,0.16397324,1
-0.44735736,-0.047912747,-0.79948425,-0.080492124,-0.57451963,-0.46638933,-0.33328527,1.8841084,-0.31254375,0.15257299,1
