0,1,2,3,4,5,6,7,8,9,is_member
-0.2561415,-0.34643367,-0.8177183,0.24953002,-0.4718152,-0.8885235,-0.09561487,2.5736134,-0.2351648,0.39068288,1
-0.22696796,-0.21916583,-0.5167462,0.16864373,-0.29539147,-0.5971173,-0.06107553,1.7032708,-0.17825402,0.25673842,1
-0.3551033,-0.4242942,-0.9946946,0.30740225,-0.5692838,-1.0431927,-0.10691022,3.1611562,-0.2887739,0.4938761,1
-0.22806534,-0.27064598,-0.6188661,0.20225057,-0.36797446,-0.71963185,-0.051394664,2.0419397,-0.18902422,0.29501152,1
-0.2596776,-0.3708904,-0.81851363,0.2531498,-0.4636306,-0.88791084,-0.07310759,2.6274083,-0.22451904,0.3933338,1
-0.16937335,-0.22108653,-0.5234765,0.14816019,-0.30221927,-0.5568244,-0.04386442,1.6607007,-0.1535415,0.22879332,1
-0.25280878,-0.3241813,-0.74194354,0.22331989,-0.43139645,-0.81322306,-0.057954125,2.3919027,-0.20379174,0.35312837,1
-0.2826029,-0.39167038,-0.88398814,0.28817672,-0.47857806,-0.95635486,-0.05101206,2.8437467,-0.23753375,0.4048242,1
-0.22844854,-0.27044475,-0.68610764,0.222887,-0.38784555,-0.7572661,-0.042751126,2.250922,-0.19099002,0.30659902,1
-0.17075491,-0.1640574,-0.41404873,0.12183083,-0.24770486,-0.48183045,-0.051210366,1.3542701,-0.14097516,0.20130381,1
-0.24225304,-0.2982964,-0.67027247,0.18557951,-0.40918916,-0.7345454,-0.07066875,2.1558936,-0.19516191,0.32804364,1
-0.18387659,-0.2276147,-0.54628986,0.15564343,-0.3106424,-0.59486526,-0.022627942,1.7674152,-0.15298742,0.2535749,1
-0.26709974,-0.359975,-0.82178736,0.28181398,-0.4714391,-0.92685634,-0.076048665,2.690881,-0.24274239,0.3832327,1
-0.23704343,-0.24350902,-0.567016,0.17109635,-0.36401168,-0.6649539,-0.0489778,1.9090618,-0.16963623,0.28550252,1
-0.17752562,-0.203819,-0.47463053,0.14758587,-0.2752058,-0.5530407,-0.033196144,1.5699316,-0.15030394,0.2145735,1
-0.22626045,-0.23215336,-0.56330824,0.17184527,-0.3303323,-0.60883576,-0.07635728,1.8328663,-0.1787213,0.28619987,1
-0.22186719,-0.2602053,-0.59448236,0.1904114,-0.34312254,-0.6837372,-0.025004618,1.9558388,-0.18252742,0.27900118,1
-0.25154552,-0.31588238,-0.6505635,0.2210051,-0.40367123,-0.7657792,-0.063906185,2.154935,-0.20374124,0.31528795,1
-0.27779317,-0.24799255,-0.6453771,0.22964954,-0.3740976,-0.7677396,-0.051959746,2.1268249,-0.2183033,0.32407483,1
-0.26163286,-0.38670388,-0.81606054,0.2196143,-0.48459643,-0.90235966,-0.038611762,2.6731093,-0.1965297,0.3662219,1
-0.25342292,-0.24835637,-0.6162633,0.20447607,-0.35850838,-0.7223084,-0.07108068,2.0432394,-0.21182276,0.30564898,1
-0.17980863,-0.16831228,-0.44424534,0.14539887,-0.2648874,-0.5191666,-0.05396732,1.4696996,-0.15584455,0.2069593,1
-0.32109466,-0.4646639,-1.0712435,0.3141063,-0.590655,-1.1096025,-0.058614247,3.3927917,-0.27741653,0.51064724,1
